Symbol,Sector,Industry
AGNCL,Real Estate,REIT—Mortgage
AGNCM,Real Estate,REIT—Mortgage
AGNCN,Real Estate,REIT—Mortgage
AGNCO,Real Estate,REIT—Mortgage
AGNCP,Real Estate,REIT—Mortgage
AGO,Financial Services,Insurance—Specialty
AGR,Utilities,Utilities—Regulated Electric
AGRO,Consumer Defensive,Farm Products
AGX,Industrials,Engineering & Construction
AGYS,Technology,Software—Application
AIG,Financial Services,Insurance—Diversified
AIN,Consumer Cyclical,Textile Manufacturing
AIR,Industrials,Aerospace & Defense
AIRC,Real Estate,REIT—Residential
AIRT,Industrials,Integrated Freight & Logistics
AIT,Industrials,Industrial Distribution
AIZ,Financial Services,Insurance—Specialty
AJG,Financial Services,Insurance Brokers
AJRD,Industrials,Aerospace & Defense
AKAM,Technology,Software—Infrastructure
AKR,Real Estate,REIT—Retail
ALB,Basic Materials,Specialty Chemicals
ALCO,Consumer Defensive,Farm Products
ALE,Utilities,Utilities—Diversified
ALEX,Real Estate,REIT—Diversified
ALG,Industrials,Farm & Heavy Construction Machinery
ALGN,Healthcare,Medical Devices
ALGT,Industrials,Airlines
ALK,Industrials,Airlines
ALKS,Healthcare,Biotechnology
ALL,Financial Services,Insurance—Property & Casualty
ALLY,Financial Services,Credit Services
ALNY,Healthcare,Biotechnology
ALOT,Technology,Computer Hardware
ALT,Healthcare,Biotechnology
ALV,Consumer Cyclical,Auto Parts
ALX,Real Estate,REIT—Retail
AMAT,Technology,Semiconductor Equipment & Materials
AMBC,Financial Services,Insurance—Specialty
AMCR,Consumer Cyclical,Packaging & Containers
AMCX,Communication Services,Entertainment
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMED,Healthcare,Medical Care Facilities
AMEH,Healthcare,Medical Care Facilities
AMG,Financial Services,Asset Management
AMGN,Healthcare,Drug Manufacturers—General
AMKR,Technology,Semiconductors
AMN,Healthcare,Medical Care Facilities
AMNB,Financial Services,Banks—Regional
AMOT,Technology,Electronic Components
AMP,Financial Services,Asset Management
AMPY,Energy,Oil & Gas E&P
AMRC,Industrials,Engineering & Construction
AMSC,Industrials,Specialty Industrial Machinery
AMSF,Financial Services,Insurance—Specialty
AMSWA,Technology,Software—Application
AMT,Real Estate,REIT—Specialty
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMX,Communication Services,Telecom Services
AMZN,Consumer Cyclical,Internet Retail
AN,Consumer Cyclical,Auto & Truck Dealerships
ANDE,Consumer Defensive,Food Distribution
ANF,Consumer Cyclical,Apparel Retail
ANGO,Healthcare,Medical Instruments & Supplies
ANIK,Healthcare,Medical Devices
ANIP,Healthcare,Drug Manufacturers—Specialty & Generic
ANSS,Technology,Software—Application
AON,Financial Services,Insurance Brokers
AORT,Healthcare,Medical Devices
AOS,Industrials,Specialty Industrial Machinery
AOSL,Technology,Semiconductors
APA,Energy,Oil & Gas E&P
APAM,Financial Services,Asset Management
APD,Basic Materials,Specialty Chemicals
APEI,Consumer Defensive,Education & Training Services
APH,Technology,Electronic Components
APLE,Real Estate,REIT—Hotel & Motel
APO,Financial Services,Asset Management
APOG,Industrials,Building Products & Equipment
APPS,Technology,Software—Application
APT,Industrials,Building Products & Equipment
APTV,Consumer Cyclical,Auto Parts
AQN,Utilities,Utilities—Renewable
ARCB,Industrials,Trucking
ARCC,Financial Services,Asset Management
ARCH,Energy,Thermal Coal
ARCO,Consumer Cyclical,Restaurants
ARE,Real Estate,REIT—Office
AREN,Communication Services,Internet Content & Information
ARGO,Financial Services,Insurance—Property & Casualty
ARI,Real Estate,REIT—Mortgage
ARKR,Consumer Cyclical,Restaurants
ARL,Real Estate,Real Estate—Development
ARLP,Energy,Thermal Coal
AROC,Energy,Oil & Gas Equipment & Services
AROW,Financial Services,Banks—Regional
ARR,Real Estate,REIT—Mortgage
ARRY,Technology,Solar
ARTNA,Utilities,Utilities—Regulated Water
ARW,Technology,Electronics & Computer Distribution
ARWR,Healthcare,Biotechnology
ASA,Financial Services,Asset Management
ASB,Financial Services,Banks—Regional
ASGN,Technology,Information Technology Services
ASH,Basic Materials,Specialty Chemicals
ASML,Technology,Semiconductor Equipment & Materials
ASPN,Industrials,Building Products & Equipment
ASPS,Real Estate,Real Estate Services
ASR,Industrials,Airports & Air Services
ASTC,Industrials,Aerospace & Defense
ASTE,Industrials,Farm & Heavy Construction Machinery
ASUR,Technology,Software—Application
ASX,Technology,Semiconductors
ASYS,Technology,Semiconductor Equipment & Materials
ATEC,Healthcare,Medical Devices
ATGE,Consumer Defensive,Education & Training Services
ATI,Industrials,Metal Fabrication
ATLC,Financial Services,Credit Services
ATLCP,Financial Services,Credit Services
ATLO,Financial Services,Banks—Regional
ATNI,Communication Services,Telecom Services
ATNM,Healthcare,Biotechnology
ATO,Utilities,Utilities—Regulated Gas
ATR,Healthcare,Medical Instruments & Supplies
ATRC,Healthcare,Medical Instruments & Supplies
ATRI,Healthcare,Medical Instruments & Supplies
ATRO,Industrials,Aerospace & Defense
ATSG,Industrials,Airlines
ATVI,Communication Services,Electronic Gaming & Multimedia
AU,Basic Materials,Gold
AUB,Financial Services,Banks—Regional
AUBN,Financial Services,Banks—Regional
AUDC,Technology,Communication Equipment
AUPH,Healthcare,Biotechnology
AVA,Utilities,Utilities—Diversified
AVAV,Industrials,Aerospace & Defense
AVB,Real Estate,REIT—Residential
AVD,Basic Materials,Agricultural Inputs
AVDL,Healthcare,Drug Manufacturers—Specialty & Generic
AVGO,Technology,Semiconductors
AVID,Communication Services,Electronic Gaming & Multimedia
AVNT,Basic Materials,Specialty Chemicals
AVNW,Technology,Communication Equipment
AVT,Technology,Electronics & Computer Distribution
AVTA,Financial Services,Asset Management
AVXL,Healthcare,Biotechnology
AVY,Industrials,Business Equipment & Supplies
AWI,Industrials,Building Products & Equipment
AWK,Utilities,Utilities—Regulated Water
AWR,Utilities,Utilities—Regulated Water
AX,Financial Services,Banks—Regional
AXGN,Healthcare,Medical Devices
AXL,Consumer Cyclical,Auto Parts
AXON,Industrials,Aerospace & Defense
AXP,Financial Services,Credit Services
AXR,Real Estate,Real Estate—Development
AXS,Financial Services,Insurance—Property & Casualty
AYI,Industrials,Electrical Equipment & Parts
AZN,Healthcare,Drug Manufacturers—General
AZO,Consumer Cyclical,Specialty Retail
AZPN,Technology,Software—Application
AZTA,Healthcare,Medical Instruments & Supplies
AZZ,Industrials,Metal Fabrication
B,Industrials,Specialty Industrial Machinery
BA,Industrials,Aerospace & Defense
BABA,Consumer Cyclical,Internet Retail
BAC,Financial Services,Banks—Diversified
BAH,Industrials,Consulting Services
BAK,Basic Materials,Chemicals
BALL,Consumer Cyclical,Packaging & Containers
BANC,Financial Services,Banks—Regional
BANF,Financial Services,Banks—Regional
BANR,Financial Services,Banks—Regional
BAP,Financial Services,Banks—Regional
BATL,Energy,Oil & Gas E&P
BAX,Healthcare,Medical Instruments & Supplies
BB,Technology,Software—Infrastructure
BBDC,Financial Services,Credit Services
BBSI,Industrials,Staffing & Employment Services
BBVA,Financial Services,Banks—Diversified
BBW,Consumer Cyclical,Specialty Retail
BBWI,Consumer Cyclical,Specialty Retail
BBY,Consumer Cyclical,Specialty Retail
BC,Consumer Cyclical,Recreational Vehicles
BCBP,Financial Services,Banks—Regional
BCC,Basic Materials,Building Materials
BCE,Communication Services,Telecom Services
BCH,Financial Services,Banks—Regional
BCO,Industrials,Security & Protection Services
BCOV,Technology,Software—Application
BCPC,Basic Materials,Specialty Chemicals
BCRX,Healthcare,Biotechnology
BCS,Financial Services,Banks—Diversified
BCTX,Healthcare,Biotechnology
BCV,Financial Services,Asset Management
BDC,Technology,Communication Equipment
BDL,Consumer Cyclical,Restaurants
BDN,Real Estate,REIT—Office
BDX,Healthcare,Medical Instruments & Supplies
BDXB,Healthcare,Medical Instruments & Supplies
BECN,Industrials,Building Products & Equipment
BEEM,Technology,Solar
BEEMW,,
BELFA,Technology,Electronic Components
BELFB,Technology,Electronic Components
BEN,Financial Services,Asset Management
BEP,Utilities,Utilities—Renewable
BFC,Financial Services,Banks—Regional
BFH,Financial Services,Credit Services
BFIN,Financial Services,Banks—Regional
BFS,Real Estate,REIT—Retail
BG,Consumer Defensive,Farm Products
BGCP,Financial Services,Capital Markets
BGFV,Consumer Cyclical,Specialty Retail
BGI,Consumer Cyclical,Luxury Goods
BGS,Consumer Defensive,Packaged Foods
BH,Consumer Cyclical,Restaurants
BHB,Financial Services,Banks—Regional
BHC,Healthcare,Drug Manufacturers—Specialty & Generic
BHE,Technology,Electronic Components
BHLB,Financial Services,Banks—Regional
BIDU,Communication Services,Internet Content & Information
BIG,Consumer Defensive,Discount Stores
BIIB,Healthcare,Drug Manufacturers—General
BIO,Healthcare,Medical Devices
BIP,Utilities,Utilities—Diversified
BJRI,Consumer Cyclical,Restaurants
BK,Financial Services,Asset Management
BKCC,Financial Services,Asset Management
BKE,Consumer Cyclical,Apparel Retail
BKH,Utilities,Utilities—Diversified
BKNG,Consumer Cyclical,Travel Services
BKSC,Financial Services,Banks—Regional
BKT,Financial Services,Asset Management
BKTI,Technology,Communication Equipment
BKU,Financial Services,Banks—Regional
BLDP,Industrials,Specialty Industrial Machinery
BLDR,Industrials,Building Products & Equipment
BLFS,Healthcare,Medical Instruments & Supplies
BLK,Financial Services,Asset Management
BLKB,Technology,Software—Application
BLMN,Consumer Cyclical,Restaurants
BLNK,Industrials,Engineering & Construction
BLU,Healthcare,Biotechnology
BLX,Financial Services,Banks—Regional
BMA,Financial Services,Banks—Regional
BMI,Technology,Scientific & Technical Instruments
BMO,Financial Services,Banks—Diversified
BMRC,Financial Services,Banks—Regional
BMRN,Healthcare,Biotechnology
BMY,Healthcare,Drug Manufacturers—General
BN,Financial Services,Asset Management
BNS,Financial Services,Banks—Diversified
BOH,Financial Services,Banks—Regional
BOKF,Financial Services,Banks—Regional
BOOM,Energy,Oil & Gas Equipment & Services
BOTJ,Financial Services,Banks—Regional
BP,Energy,Oil & Gas Integrated
BPOP,Financial Services,Banks—Regional
BPT,Energy,Oil & Gas Refining & Marketing
BR,Technology,Information Technology Services
BRC,Industrials,Security & Protection Services
BRID,Consumer Defensive,Packaged Foods
BRKL,Financial Services,Banks—Regional
BRKR,Healthcare,Medical Devices
BRO,Financial Services,Insurance Brokers
BRT,Real Estate,REIT—Residential
BRX,Real Estate,REIT—Retail
BSAC,Financial Services,Banks—Regional
BSBR,Financial Services,Banks—Regional
BSET,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BSRR,Financial Services,Banks—Regional
BSX,Healthcare,Medical Devices
BTA,Financial Services,Asset Management
BTU,Energy,Thermal Coal
BUD,Consumer Defensive,Beverages—Brewers
BUSE,Financial Services,Banks—Regional
BVH,Consumer Cyclical,Resorts & Casinos
BVN,Basic Materials,Other Precious Metals & Mining
BWA,Consumer Cyclical,Auto Parts
BWXT,Industrials,Aerospace & Defense
BX,Financial Services,Asset Management
BXC,Industrials,Building Products & Equipment
BXMT,Real Estate,REIT—Mortgage
BXP,Real Estate,REIT—Office
BYD,Consumer Cyclical,Resorts & Casinos
BYRN,Industrials,Aerospace & Defense
BZH,Consumer Cyclical,Residential Construction
C,Financial Services,Banks—Diversified
CAC,Financial Services,Banks—Regional
CACC,Financial Services,Credit Services
CACI,Technology,Information Technology Services
CADE,Financial Services,Banks—Regional
CAE,Industrials,Aerospace & Defense
CAG,Consumer Defensive,Packaged Foods
CAH,Healthcare,Medical Distribution
CAKE,Consumer Cyclical,Restaurants
CAL,Consumer Cyclical,Footwear & Accessories
CALM,Consumer Defensive,Farm Products
CALX,Technology,Software—Application
CAMT,Technology,Semiconductor Equipment & Materials
CAPR,Healthcare,Biotechnology
CAR,Industrials,Rental & Leasing Services
CASH,Financial Services,Banks—Regional
CASS,Industrials,Specialty Business Services
CASY,Consumer Cyclical,Specialty Retail
CAT,Industrials,Farm & Heavy Construction Machinery
CATO,Consumer Cyclical,Apparel Retail
CATY,Financial Services,Banks—Regional
CB,Financial Services,Insurance—Property & Casualty
CBAN,Financial Services,Banks—Regional
CBL,Real Estate,REIT—Retail
CBOE,Financial Services,Financial Data & Stock Exchanges
CBRE,Real Estate,Real Estate Services
CBRL,Consumer Cyclical,Restaurants
CBSH,Financial Services,Banks—Regional
CBT,Basic Materials,Specialty Chemicals
CBU,Financial Services,Banks—Regional
CBZ,Industrials,Specialty Business Services
CCBG,Financial Services,Banks—Regional
CCEP,Consumer Defensive,Beverages—Non-Alcoholic
CCF,Basic Materials,Specialty Chemicals
CCI,Real Estate,REIT—Specialty
CCJ,Energy,Uranium
CCK,Consumer Cyclical,Packaging & Containers
CCL,Consumer Cyclical,Travel Services
CCNE,Financial Services,Banks—Regional
CCNEP,Financial Services,Banks—Regional
CCOI,Communication Services,Telecom Services
CCRD,Technology,Software—Application
CCRN,Healthcare,Medical Care Facilities
CCU,Consumer Defensive,Beverages—Brewers
CCZ,Consumer Cyclical,Entertainment
CDMO,Healthcare,Biotechnology
CDNS,Technology,Software—Application
CDW,Technology,Information Technology Services
CDZIP,Utilities,Utilities—Regulated Water
CE,Basic Materials,Chemicals
CECO,Industrials,Pollution & Treatment Controls
CELZ,Healthcare,Biotechnology
CENT,Consumer Defensive,Packaged Foods
CENTA,Consumer Defensive,Packaged Foods
CENX,Basic Materials,Aluminum
CEQP,Energy,Oil & Gas Midstream
CET,Financial Services,Asset Management
CETX,Technology,Software—Infrastructure
CEVA,Technology,Semiconductors
CF,Basic Materials,Agricultural Inputs
CFBK,Financial Services,Banks—Regional
CFFI,Financial Services,Banks—Regional
CFFN,Financial Services,Banks—Regional
CFR,Financial Services,Banks—Regional
CG,Financial Services,Asset Management
CGAU,Basic Materials,Gold
CGNX,Technology,Scientific & Technical Instruments
CHCI,Real Estate,Real Estate—Diversified
CHCO,Financial Services,Banks—Regional
CHD,Consumer Defensive,Household & Personal Products
CHDN,Consumer Cyclical,Gambling
CHE,Healthcare,Medical Care Facilities
CHEF,Consumer Defensive,Food Distribution
CHH,Consumer Cyclical,Lodging
CHK,Energy,Oil & Gas E&P
CHKEL,,
CHKEW,,
CHKEZ,,
CHKP,Technology,Software—Infrastructure
CHMG,Financial Services,Banks—Regional
CHN,Financial Services,Asset Management
CHRD,Energy,Oil & Gas E&P
CHRW,Industrials,Integrated Freight & Logistics
CHS,Consumer Cyclical,Apparel Retail
CHSCL,Consumer Defensive,Farm Products
CHSCM,Consumer Defensive,Farm Products
CHSCN,Consumer Defensive,Farm Products
CHSCO,Consumer Defensive,Farm Products
CHSCP,Consumer Defensive,Farm Products
CHT,Communication Services,Telecom Services
CHTR,Communication Services,Telecom Services
CHUY,Consumer Cyclical,Restaurants
CHY,Financial Services,Asset Management
CI,Healthcare,Healthcare Plans
CIB,Financial Services,Banks—Regional
CIEN,Technology,Communication Equipment
CIGI,Real Estate,Real Estate Services
CIM,Real Estate,REIT—Mortgage
CINF,Financial Services,Insurance—Property & Casualty
CIR,Industrials,Specialty Industrial Machinery
CIVB,Financial Services,Banks—Regional
CIX,Industrials,Security & Protection Services
CIZN,Financial Services,Banks—Regional
CKX,Energy,Oil & Gas E&P
CL,Consumer Defensive,Household & Personal Products
CLAR,Consumer Cyclical,Leisure
CLB,Energy,Oil & Gas Equipment & Services
CLDT,Real Estate,REIT—Hotel & Motel
CLDX,Healthcare,Biotechnology
CLF,Basic Materials,Steel
CLFD,Technology,Communication Equipment
CLH,Industrials,Waste Management
CLMB,Technology,Electronics & Computer Distribution
CLMT,Energy,Oil & Gas E&P
CLNE,Energy,Oil & Gas Refining & Marketing
CLS,Technology,Electronic Components
CLW,Basic Materials,Paper & Paper Products
CLX,Consumer Defensive,Household & Personal Products
CM,Financial Services,Banks—Diversified
CMA,Financial Services,Banks—Regional
CMC,Basic Materials,Steel
CMCL,Basic Materials,Gold
CMCO,Industrials,Farm & Heavy Construction Machinery
CMCSA,Communication Services,Telecom Services
CMCT,Real Estate,REIT—Office
CME,Financial Services,Financial Data & Stock Exchanges
CMG,Consumer Cyclical,Restaurants
CMI,Industrials,Specialty Industrial Machinery
CMP,Basic Materials,Other Industrial Metals & Mining
CMPR,Communication Services,Advertising Agencies
CMRE,Industrials,Marine Shipping
CMS,Utilities,Utilities—Regulated Electric
CMT,Basic Materials,Specialty Chemicals
CMTL,Technology,Communication Equipment
CNA,Financial Services,Insurance—Property & Casualty
CNC,Healthcare,Healthcare Plans
CNI,Industrials,Railroads
CNK,Communication Services,Entertainment
CNMD,Healthcare,Medical Devices
CNO,Financial Services,Insurance—Life
CNOB,Financial Services,Banks—Regional
CNOBP,Financial Services,Banks—Regional
CNP,Utilities,Utilities—Regulated Electric
CNQ,Energy,Oil & Gas E&P
CNS,Financial Services,Asset Management
CNTY,Consumer Cyclical,Resorts & Casinos
CNX,Energy,Oil & Gas E&P
CNXN,Technology,Electronics & Computer Distribution
CODA,Industrials,Aerospace & Defense
CODI,Industrials,Conglomerates
COF,Financial Services,Credit Services
COFS,Financial Services,Banks—Regional
COHN,Financial Services,Capital Markets
COHR,Technology,Scientific & Technical Instruments
COHU,Technology,Semiconductor Equipment & Materials
COKE,Consumer Defensive,Beverages—Non-Alcoholic
COLB,Financial Services,Banks—Regional
COLM,Consumer Cyclical,Apparel Manufacturing
CONN,Consumer Cyclical,Specialty Retail
COO,Healthcare,Medical Instruments & Supplies
COP,Energy,Oil & Gas E&P
CORT,Healthcare,Biotechnology
COST,Consumer Defensive,Discount Stores
CP,Industrials,Railroads
CPA,Industrials,Airlines
CPAC,Basic Materials,Building Materials
CPB,Consumer Defensive,Packaged Foods
CPE,Energy,Oil & Gas E&P
CPF,Financial Services,Banks—Regional
CPG,Energy,Oil & Gas E&P
CPHC,Consumer Cyclical,Gambling
CPK,Utilities,Utilities—Regulated Gas
CPLP,Industrials,Marine Shipping
CPRT,Consumer Cyclical,Auto & Truck Dealerships
CPRX,Healthcare,Biotechnology
CPS,Consumer Cyclical,Auto Parts
CPSI,Healthcare,Health Information Services
CPSS,Financial Services,Credit Services
CPT,Real Estate,REIT—Residential
CQP,Energy,Oil & Gas Midstream
CR,Industrials,Specialty Industrial Machinery
CRAI,Industrials,Consulting Services
CRESY,Industrials,Conglomerates
CRH,Basic Materials,Building Materials
CRI,Consumer Cyclical,Apparel Retail
CRK,Energy,Oil & Gas E&P
CRL,Healthcare,Diagnostics & Research
CRM,Technology,Software—Application
CRMT,Consumer Cyclical,Auto & Truck Dealerships
CROX,Consumer Cyclical,Footwear & Accessories
CRS,Industrials,Metal Fabrication
CRT,Energy,Oil & Gas E&P
CRUS,Technology,Semiconductors
CRVL,Financial Services,Insurance Brokers
CRWS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CSAN,Energy,Oil & Gas Refining & Marketing
CSBR,Healthcare,Biotechnology
CSCO,Technology,Communication Equipment
CSGP,Real Estate,Real Estate Services
CSGS,Technology,Software—Infrastructure
CSIQ,Technology,Solar
CSL,Industrials,Building Products & Equipment
CSPI,Technology,Information Technology Services
CSR,Real Estate,REIT—Residential
CSV,Consumer Cyclical,Personal Services
CSWC,Financial Services,Asset Management
CSX,Industrials,Railroads
CTAS,Industrials,Specialty Business Services
CTBI,Financial Services,Banks—Regional
CTG,Technology,Information Technology Services
CTIC,Healthcare,Biotechnology
CTO,Real Estate,REIT—Diversified
CTRA,Energy,Oil & Gas E&P
CTRN,Consumer Cyclical,Apparel Retail
CTS,Technology,Electronic Components
CTSH,Technology,Information Technology Services
CUBE,Real Estate,REIT—Industrial
CUK,Consumer Cyclical,Leisure
CULP,Consumer Cyclical,Textile Manufacturing
CUTR,Healthcare,Medical Devices
CUZ,Real Estate,REIT—Office
CVBF,Financial Services,Banks—Regional
CVCO,Consumer Cyclical,Residential Construction
CVCY,Financial Services,Banks—Regional
CVE,Energy,Oil & Gas Integrated
CVGI,Consumer Cyclical,Auto Parts
CVGW,Consumer Defensive,Food Distribution
CVI,Energy,Oil & Gas Refining & Marketing
CVLG,Industrials,Trucking
CVLT,Technology,Software—Application
CVLY,Financial Services,Banks—Regional
CVR,Industrials,Tools & Accessories
CVS,Healthcare,Healthcare Plans
CVV,Industrials,Specialty Industrial Machinery
CVX,Energy,Oil & Gas Integrated
CW,Industrials,Aerospace & Defense
CWBC,Financial Services,Banks—Regional
CWCO,Utilities,Utilities—Regulated Water
CWST,Industrials,Waste Management
CWT,Utilities,Utilities—Regulated Water
CX,Basic Materials,Building Materials
CXW,Real Estate,REIT—Specialty
CYCCP,Healthcare,Biotechnology
CYD,Industrials,Specialty Industrial Machinery
CYRX,Industrials,Integrated Freight & Logistics
CYTK,Healthcare,Biotechnology
CZFS,Financial Services,Banks—Regional
CZNC,Financial Services,Banks—Regional
CZR,Consumer Cyclical,Resorts & Casinos
CZWI,Financial Services,Banks—Regional
D,Utilities,Utilities—Regulated Electric
DAC,Industrials,Marine Shipping
DAL,Industrials,Airlines
DALN,Communication Services,Publishing
DAN,Consumer Cyclical,Auto Parts
DAR,Consumer Defensive,Packaged Foods
DB,Financial Services,Banks—Regional
DBI,Consumer Cyclical,Apparel Retail
DBRG,Real Estate,REIT—Diversified
DCI,Industrials,Specialty Industrial Machinery
DCO,Industrials,Aerospace & Defense
DCOM,Financial Services,Banks—Regional
DCOMP,Financial Services,Banks—Regional
DCP,Energy,Oil & Gas Midstream
DD,Basic Materials,Specialty Chemicals
DDD,Technology,Computer Hardware
DDS,Consumer Cyclical,Department Stores
DDT,Consumer Cyclical,Retail Apparel & Specialty
DE,Industrials,Farm & Heavy Construction Machinery
DECK,Consumer Cyclical,Footwear & Accessories
DEI,Real Estate,REIT—Office
DEN,Energy,Oil & Gas E&P
DENN,Consumer Cyclical,Restaurants
DEO,Consumer Defensive,Beverages—Wineries & Distilleries
DFS,Financial Services,Credit Services
DG,Consumer Defensive,Discount Stores
DGICA,Financial Services,Insurance—Property & Casualty
DGICB,Financial Services,Insurance—Property & Casualty
DGII,Technology,Communication Equipment
DGLY,Industrials,Security & Protection Services
DGX,Healthcare,Diagnostics & Research
DHI,Consumer Cyclical,Residential Construction
DHIL,Financial Services,Asset Management
DHR,Healthcare,Diagnostics & Research
DHT,Energy,Oil & Gas Midstream
DIN,Consumer Cyclical,Restaurants
DINO,Energy,Oil & Gas Refining & Marketing
DIOD,Technology,Semiconductors
DIS,Communication Services,Entertainment
DISH,Communication Services,Telecom Services
DIT,Consumer Defensive,Food Distribution
DJCO,Technology,Software—Application
DK,Energy,Oil & Gas Refining & Marketing
DKS,Consumer Cyclical,Specialty Retail
DLA,Consumer Cyclical,Apparel Manufacturing
DLB,Technology,Information Technology Services
DLHC,Industrials,Specialty Business Services
DLR,Real Estate,REIT—Office
DLTR,Consumer Defensive,Discount Stores
DLX,Communication Services,Advertising Agencies
DMF,Financial Services,Asset Management
DMLP,Energy,Oil & Gas E&P
DMRC,Technology,Information Technology Services
DNP,Financial Services,Asset Management
DO,Energy,Oil & Gas Drilling
DOOR,Industrials,Building Products & Equipment
DORM,Consumer Cyclical,Auto Parts
DOV,Industrials,Specialty Industrial Machinery
DOX,Technology,Software—Infrastructure
DPZ,Consumer Cyclical,Restaurants
DQ,Technology,Semiconductor Equipment & Materials
DRD,Basic Materials,Gold
DRH,Real Estate,REIT—Hotel & Motel
DRI,Consumer Cyclical,Restaurants
DRQ,Energy,Oil & Gas Equipment & Services
DRRX,Healthcare,Drug Manufacturers—Specialty & Generic
DSGR,Industrials,Industrial Distribution
DSGX,Technology,Software—Application
DSM,Financial Services,Asset Management
DSX,Industrials,Marine Shipping
DTE,Utilities,Utilities—Regulated Electric
DUK,Utilities,Utilities—Regulated Electric
DVA,Healthcare,Medical Care Facilities
DVAX,Healthcare,Drug Manufacturers—Specialty & Generic
DVN,Energy,Oil & Gas E&P
DX,Real Estate,REIT—Mortgage
DXC,Technology,Information Technology Services
DXCM,Healthcare,Medical Devices
DXLG,Consumer Cyclical,Apparel Retail
DXPE,Industrials,Industrial Distribution
DXR,Healthcare,Medical Instruments & Supplies
DY,Industrials,Engineering & Construction
DYN,Healthcare,Biotechnology
DZSI,Technology,Communication Equipment
E,Energy,Oil & Gas Integrated
EA,Communication Services,Electronic Gaming & Multimedia
EAF,Industrials,Electrical Equipment & Parts
EAT,Consumer Cyclical,Restaurants
EBAY,Consumer Cyclical,Internet Retail
EBF,Industrials,Business Equipment & Supplies
EBIX,Technology,Software—Application
EBMT,Financial Services,Banks—Regional
EBR,Utilities,Utilities—Regulated Electric
EBS,Healthcare,Drug Manufacturers—Specialty & Generic
EBTC,Financial Services,Banks—Regional
EC,Energy,Oil & Gas Integrated
ECF,Financial Services,Asset Management
ECL,Basic Materials,Specialty Chemicals
ECPG,Financial Services,Mortgage Finance
ED,Utilities,Utilities—Regulated Electric
EDAP,Healthcare,Medical Devices
EDD,Financial Services,Asset Management
EDN,Utilities,Utilities—Regulated Electric
EDR,Communication Services,Entertainment
EDU,Consumer Defensive,Education & Training Services
EE,Utilities,Utilities—Renewable
EEFT,Technology,Software—Infrastructure
EFC,Real Estate,REIT—Mortgage
EFSC,Financial Services,Banks—Regional
EFSCP,Financial Services,Banks—Regional
EFX,Industrials,Consulting Services
EFXT,Energy,Oil & Gas Equipment & Services
EGAN,Technology,Software—Application
EGBN,Financial Services,Banks—Regional
EGLE,Industrials,Marine Shipping
